device_id,status_datetime,received_at,pt_cur,pt_b,p_con,pe_cur,operation_status,operation,remain_time_minutes,remain_time_seconds,status_code,data_cycle,network_cycle
SPC0001,20260519010038,2026-05-19T01:00:38.520Z,1.67,1.67,1.8,1.62,1,3,3,52,0,1,1
SPC0002,20260519010039,2026-05-19T01:00:39.317Z,1.54,1.54,1.8,1.49,1,3,4,53,0,1,1
SPC0001,20260519010041,2026-05-19T01:00:41.531Z,1.66,1.67,1.8,1.61,1,3,2,48,0,1,1
SPC0002,20260519010042,2026-05-19T01:00:42.322Z,1.55,1.54,1.8,1.5,1,3,4,3,0,1,1
SPC0003,20260519042618,2026-05-19T04:26:18.583Z,1.66,1.65,1.8,1.61,1,1,0,0,0,1,1
SPC0003,20260519042621,2026-05-19T04:26:21.579Z,1.67,1.65,1.8,1.62,1,1,0,0,0,1,1
SPC0003,20260519042624,2026-05-19T04:26:24.592Z,1.67,1.67,1.8,1.62,1,1,0,0,0,1,1
SPC0003,20260519042627,2026-05-19T04:26:27.597Z,1.66,1.67,1.8,1.61,1,1,0,0,0,1,1
SPC0003,20260519042630,2026-05-19T04:26:30.607Z,1.65,1.66,1.8,1.6,1,1,0,0,0,1,1
SPC0003,20260519042633,2026-05-19T04:26:33.611Z,1.65,1.66,1.8,1.6,1,1,0,0,0,1,1
SPC0003,20260519042636,2026-05-19T04:26:36.617Z,1.66,1.65,1.8,1.61,1,1,0,0,0,1,1
SPC0003,20260519042639,2026-05-19T04:26:39.627Z,1.65,1.65,1.8,1.6,1,1,0,0,0,1,1
SPC0003,20260519042642,2026-05-19T04:26:42.641Z,1.65,1.65,1.8,1.6,1,1,0,0,0,1,1
SPC0003,20260519042645,2026-05-19T04:26:45.651Z,1.64,1.65,1.8,1.59,1,1,0,0,0,1,1
SPC0003,20260519042648,2026-05-19T04:26:48.655Z,1.64,1.64,1.8,1.59,1,1,0,0,0,1,1
SPC0003,20260519042651,2026-05-19T04:26:51.668Z,1.63,1.64,1.8,1.58,1,1,0,0,0,1,1
SPC0003,20260519042654,2026-05-19T04:26:54.681Z,1.62,1.63,1.8,1.57,1,1,0,0,0,1,1
SPC0003,20260519042657,2026-05-19T04:26:57.688Z,1.61,1.63,1.8,1.56,1,2,3,56,0,1,1
SPC0003,20260519042700,2026-05-19T04:27:00.697Z,1.59,1.61,1.8,1.54,1,2,2,24,0,1,1
SPC0003,20260519042703,2026-05-19T04:27:03.702Z,1.6,1.61,1.8,1.55,1,2,1,8,0,1,1
SPC0003,20260519042706,2026-05-19T04:27:06.708Z,1.58,1.6,1.8,1.53,1,2,3,35,0,1,1
SPC0003,20260519042709,2026-05-19T04:27:09.716Z,1.57,1.6,1.8,1.52,1,3,4,39,0,1,1
SPC0003,20260519042712,2026-05-19T04:27:12.721Z,1.56,1.57,1.8,1.51,1,3,1,8,0,1,1
SPC0003,20260519042715,2026-05-19T04:27:15.724Z,1.57,1.57,1.8,1.52,1,3,0,52,0,1,1
SPC0003,20260519042718,2026-05-19T04:27:18.735Z,1.59,1.57,1.8,1.54,1,3,3,15,0,1,1
SPC0003,20260519042721,2026-05-19T04:27:21.741Z,1.58,1.57,1.8,1.53,1,3,1,14,0,1,1
SPC0003,20260519042724,2026-05-19T04:27:24.743Z,1.58,1.58,1.8,1.53,1,3,3,58,0,1,1
SPC0003,20260519042727,2026-05-19T04:27:27.751Z,1.59,1.58,1.8,1.54,1,3,1,15,0,1,1
SPC0003,20260519042730,2026-05-19T04:27:30.757Z,1.59,1.59,1.8,1.54,1,3,2,28,0,1,1
SPC0003,20260519042733,2026-05-19T04:27:33.764Z,1.58,1.59,1.8,1.53,1,3,4,42,0,1,1
SPC0003,20260519042736,2026-05-19T04:27:36.772Z,1.57,1.58,1.8,1.52,1,3,2,51,0,1,1
SPC0003,20260519042739,2026-05-19T04:27:39.786Z,1.56,1.58,1.8,1.51,1,3,1,0,0,1,1
SPC0003,20260519042742,2026-05-19T04:27:42.788Z,1.58,1.56,1.8,1.53,1,3,3,23,0,1,1
SPC0003,20260519042745,2026-05-19T04:27:45.789Z,1.6,1.56,1.8,1.55,1,3,3,12,0,1,1
SPC0003,20260519042748,2026-05-19T04:27:48.795Z,1.59,1.6,1.8,1.54,1,3,1,33,0,1,1
SPC0003,20260519042751,2026-05-19T04:27:51.802Z,1.6,1.6,1.8,1.55,1,3,0,19,0,1,1
SPC0003,20260519042836,2026-05-19T04:28:36.900Z,1.55,1.55,1.8,1.5,1,1,0,0,0,1,1
SPC0003,20260519042839,2026-05-19T04:28:39.914Z,1.55,1.55,1.8,1.5,1,1,0,0,0,1,1
SPC0003,20260519042842,2026-05-19T04:28:42.919Z,1.53,1.55,1.8,1.48,1,1,0,0,0,1,1
SPC0003,20260519042845,2026-05-19T04:28:45.929Z,1.54,1.55,1.8,1.49,1,1,0,0,0,1,1
SPC0003,20260519042848,2026-05-19T04:28:48.939Z,1.53,1.54,1.8,1.48,1,1,0,0,0,1,1
SPC0003,20260519042851,2026-05-19T04:28:51.937Z,1.55,1.54,1.8,1.5,1,1,0,0,0,1,1
SPC0003,20260519042854,2026-05-19T04:28:54.941Z,1.56,1.55,1.8,1.51,1,3,2,23,0,1,1
SPC0003,20260519042857,2026-05-19T04:28:57.945Z,1.57,1.55,1.8,1.52,1,3,2,27,0,1,1
SPC0003,20260519042900,2026-05-19T04:29:00.959Z,1.57,1.57,1.8,1.52,1,3,2,53,0,1,1
SPC0003,20260519042903,2026-05-19T04:29:03.974Z,1.56,1.57,1.8,1.51,1,3,4,55,0,1,1
SPC0003,20260519042906,2026-05-19T04:29:06.985Z,1.56,1.56,1.8,1.51,1,3,2,33,0,1,1
SPC0003,20260519042909,2026-05-19T04:29:09.997Z,1.54,1.56,1.8,1.49,1,3,3,44,0,1,1
SPC0003,20260519042913,2026-05-19T04:29:13.012Z,1.54,1.54,1.8,1.49,1,3,4,50,0,1,1
SPC0003,20260519042916,2026-05-19T04:29:16.016Z,1.53,1.54,1.8,1.48,1,1,0,0,0,1,1
SPC0003,20260519042919,2026-05-19T04:29:19.026Z,1.52,1.53,1.8,1.47,1,1,0,0,0,1,1
SPC0003,20260519042922,2026-05-19T04:29:22.035Z,1.52,1.53,1.8,1.47,1,2,2,17,0,1,1
SPC0003,20260519042925,2026-05-19T04:29:25.041Z,1.51,1.52,1.8,1.46,1,2,3,45,0,1,1
SPC0003,20260519042928,2026-05-19T04:29:28.043Z,1.49,1.52,1.8,1.44,1,2,1,0,0,1,1
SPC0003,20260519042931,2026-05-19T04:29:31.058Z,1.48,1.49,1.8,1.43,1,2,1,49,0,1,1
SPC0003,20260519042934,2026-05-19T04:29:34.063Z,1.5,1.49,1.8,1.45,1,3,0,13,0,1,1
SPC0003,20260519042937,2026-05-19T04:29:37.068Z,1.5,1.5,1.8,1.45,1,3,3,7,0,1,1
SPC0003,20260519042940,2026-05-19T04:29:40.072Z,1.48,1.5,1.8,1.43,1,2,0,55,0,1,1
SPC0003,20260519042943,2026-05-19T04:29:43.075Z,1.49,1.48,1.8,1.44,1,2,1,25,0,1,1
SPC0003,20260519042946,2026-05-19T04:29:46.077Z,1.48,1.48,1.8,1.43,1,1,0,0,0,1,1
SPC0003,20260519042949,2026-05-19T04:29:49.088Z,1.49,1.48,1.8,1.44,1,1,0,0,0,1,1
SPC0003,20260519042952,2026-05-19T04:29:52.097Z,1.5,1.48,1.8,1.45,1,1,0,0,0,1,1
SPC0003,20260519042955,2026-05-19T04:29:55.106Z,1.5,1.5,1.8,1.45,1,1,0,0,0,1,1
SPC0003,20260519042958,2026-05-19T04:29:58.117Z,1.48,1.5,1.8,1.43,1,1,0,0,0,1,1
SPC0003,20260519043001,2026-05-19T04:30:01.128Z,1.5,1.48,1.8,1.45,1,1,0,0,0,1,1
SPC0003,20260519043004,2026-05-19T04:30:04.143Z,1.51,1.48,1.8,1.46,1,1,0,0,0,1,1
SPC0003,20260519043007,2026-05-19T04:30:07.148Z,1.49,1.51,1.8,1.44,1,1,0,0,0,1,1
SPC0003,20260519043010,2026-05-19T04:30:10.153Z,1.49,1.51,1.8,1.44,1,1,0,0,0,1,1
SPC0003,20260519043013,2026-05-19T04:30:13.163Z,1.51,1.49,1.8,1.46,1,1,0,0,0,1,1
SPC0003,20260519043016,2026-05-19T04:30:16.164Z,1.49,1.49,1.8,1.44,1,2,0,15,0,1,1
SPC0003,20260519043019,2026-05-19T04:30:19.181Z,1.5,1.49,1.8,1.45,1,2,2,47,0,1,1
SPC0003,20260519043022,2026-05-19T04:30:22.184Z,1.5,1.49,1.8,1.45,1,2,4,55,0,1,1
SPC0003,20260519043025,2026-05-19T04:30:25.197Z,1.5,1.5,1.8,1.45,1,2,2,57,0,1,1
SPC0003,20260519043028,2026-05-19T04:30:28.201Z,1.51,1.5,1.8,1.46,1,2,0,17,0,1,1
SPC0003,20260519043031,2026-05-19T04:30:31.203Z,1.52,1.51,1.8,1.47,1,2,2,3,0,1,1
SPC0003,20260519043034,2026-05-19T04:30:34.211Z,1.52,1.51,1.8,1.47,1,2,2,57,0,1,1
SPC0003,20260519043037,2026-05-19T04:30:37.217Z,1.53,1.52,1.8,1.48,1,2,3,4,0,1,1
SPC0003,20260519043040,2026-05-19T04:30:40.220Z,1.53,1.52,1.8,1.48,1,2,4,50,0,1,1
SPC0003,20260519043043,2026-05-19T04:30:43.225Z,1.52,1.53,1.8,1.47,1,2,4,30,0,1,1
SPC0003,20260519043046,2026-05-19T04:30:46.238Z,1.52,1.53,1.8,1.47,1,2,0,46,0,1,1
SPC0003,20260519043049,2026-05-19T04:30:49.249Z,1.51,1.52,1.8,1.46,1,2,2,21,0,1,1
SPC0003,20260519043052,2026-05-19T04:30:52.258Z,1.53,1.52,1.8,1.48,1,2,3,24,0,1,1
SPC0003,20260519043055,2026-05-19T04:30:55.270Z,1.54,1.53,1.8,1.49,1,2,3,31,0,1,1
SPC0003,20260519043058,2026-05-19T04:30:58.274Z,1.55,1.53,1.8,1.5,1,2,1,17,0,1,1
SPC0003,20260519043101,2026-05-19T04:31:01.278Z,1.57,1.55,1.8,1.52,1,2,1,3,0,1,1
SPC0003,20260519043104,2026-05-19T04:31:04.281Z,1.56,1.55,1.8,1.51,1,2,2,11,0,1,1
SPC0003,20260519043107,2026-05-19T04:31:07.286Z,1.56,1.56,1.8,1.51,1,2,2,19,0,1,1
SPC0003,20260519043110,2026-05-19T04:31:10.288Z,1.55,1.56,1.8,1.5,1,2,1,27,0,1,1
SPC0003,20260519043113,2026-05-19T04:31:13.292Z,1.55,1.55,1.8,1.5,1,2,3,26,0,1,1
SPC0003,20260519043116,2026-05-19T04:31:16.304Z,1.55,1.55,1.8,1.5,1,2,3,19,0,1,1
SPC0003,20260519043119,2026-05-19T04:31:19.310Z,1.54,1.55,1.8,1.49,1,1,0,0,0,1,1
SPC0003,20260519043122,2026-05-19T04:31:22.316Z,1.55,1.55,1.8,1.5,1,3,3,18,0,1,1
SPC0003,20260519043125,2026-05-19T04:31:25.330Z,1.54,1.55,1.8,1.49,1,3,3,3,0,1,1
SPC0003,20260519043128,2026-05-19T04:31:28.342Z,1.54,1.55,1.8,1.49,1,3,1,24,0,1,1
SPC0003,20260519043131,2026-05-19T04:31:31.343Z,1.54,1.54,1.8,1.49,1,3,3,3,0,1,1
SPC0003,20260519043134,2026-05-19T04:31:34.358Z,1.55,1.54,1.8,1.5,1,3,2,59,0,1,1
SPC0003,20260519043137,2026-05-19T04:31:37.370Z,1.56,1.55,1.8,1.51,1,3,1,54,0,1,1
SPC0003,20260519043140,2026-05-19T04:31:40.385Z,1.57,1.55,1.8,1.52,1,3,4,42,0,1,1
SPC0003,20260519043143,2026-05-19T04:31:43.392Z,1.56,1.57,1.8,1.51,1,3,3,27,0,1,1
SPC0003,20260519043146,2026-05-19T04:31:46.400Z,1.55,1.57,1.8,1.5,1,3,2,10,0,1,1
SPC0003,20260519043149,2026-05-19T04:31:49.404Z,1.54,1.55,1.8,1.49,1,3,2,48,0,1,1
SPC0003,20260519043152,2026-05-19T04:31:52.418Z,1.53,1.55,1.8,1.48,1,3,4,43,0,1,1
SPC0003,20260519043155,2026-05-19T04:31:55.430Z,1.54,1.53,1.8,1.49,1,3,1,46,0,1,1
SPC0003,20260519043158,2026-05-19T04:31:58.443Z,1.54,1.53,1.8,1.49,1,3,2,45,0,1,1
SPC0003,20260519043201,2026-05-19T04:32:01.448Z,1.52,1.54,1.8,1.47,1,3,0,55,0,1,1
SPC0003,20260519043204,2026-05-19T04:32:04.457Z,1.53,1.54,1.8,1.48,1,3,2,48,0,1,1
SPC0003,20260519043207,2026-05-19T04:32:07.461Z,1.52,1.53,1.8,1.47,1,3,2,8,0,1,1
SPC0003,20260519043210,2026-05-19T04:32:10.468Z,1.51,1.53,1.8,1.46,1,3,2,44,0,1,1
SPC0003,20260519043213,2026-05-19T04:32:13.474Z,1.49,1.51,1.8,1.44,1,3,1,37,0,1,1
SPC0003,20260519043216,2026-05-19T04:32:16.480Z,1.47,1.51,1.8,1.42,1,3,1,41,0,1,1
SPC0003,20260519043219,2026-05-19T04:32:19.493Z,1.46,1.47,1.8,1.41,1,2,2,53,0,1,1
SPC0003,20260519043222,2026-05-19T04:32:22.505Z,1.47,1.47,1.8,1.42,1,2,3,29,0,1,1
SPC0003,20260519043225,2026-05-19T04:32:25.510Z,1.47,1.47,1.8,1.42,1,2,1,29,0,1,1
SPC0003,20260519043228,2026-05-19T04:32:28.516Z,1.47,1.47,1.8,1.42,1,2,1,35,0,1,1
SPC0003,20260519043231,2026-05-19T04:32:31.516Z,1.45,1.47,1.8,1.4,1,2,4,19,0,1,1
SPC0003,20260519043234,2026-05-19T04:32:34.527Z,1.47,1.47,1.8,1.42,1,2,1,52,0,1,1
SPC0003,20260519043237,2026-05-19T04:32:37.539Z,1.47,1.47,1.8,1.42,1,2,2,51,0,1,1
SPC0003,20260519043240,2026-05-19T04:32:40.546Z,1.46,1.47,1.8,1.41,1,2,4,6,0,1,1
SPC0003,20260519043243,2026-05-19T04:32:43.547Z,1.44,1.46,1.8,1.39,1,2,2,18,0,1,1
SPC0003,20260519043246,2026-05-19T04:32:46.562Z,1.43,1.46,1.8,1.38,1,2,0,25,0,1,1
SPC0003,20260519043249,2026-05-19T04:32:49.567Z,1.43,1.43,1.8,1.38,1,2,4,30,0,1,1
SPC0003,20260519043252,2026-05-19T04:32:52.574Z,1.45,1.43,1.8,1.4,1,2,4,21,0,1,1
SPC0003,20260519043255,2026-05-19T04:32:55.580Z,1.44,1.45,1.8,1.39,1,2,0,8,0,1,1
SPC0003,20260519043258,2026-05-19T04:32:58.592Z,1.45,1.45,1.8,1.4,1,1,0,0,0,1,1
SPC0003,20260519043301,2026-05-19T04:33:01.603Z,1.44,1.45,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043304,2026-05-19T04:33:04.603Z,1.44,1.45,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043307,2026-05-19T04:33:07.612Z,1.42,1.44,1.8,1.37,1,1,0,0,0,1,1
SPC0003,20260519043310,2026-05-19T04:33:10.623Z,1.42,1.44,1.8,1.37,1,1,0,0,0,1,1
SPC0003,20260519043313,2026-05-19T04:33:13.634Z,1.43,1.42,1.8,1.38,1,1,0,0,0,1,1
SPC0003,20260519043316,2026-05-19T04:33:16.637Z,1.44,1.42,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043319,2026-05-19T04:33:19.644Z,1.44,1.44,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043322,2026-05-19T04:33:22.656Z,1.46,1.44,1.8,1.41,1,1,0,0,0,1,1
SPC0003,20260519043325,2026-05-19T04:33:25.663Z,1.48,1.46,1.8,1.43,1,1,0,0,0,1,1
SPC0003,20260519043328,2026-05-19T04:33:28.671Z,1.47,1.46,1.8,1.42,1,1,0,0,0,1,1
SPC0003,20260519043331,2026-05-19T04:33:31.683Z,1.48,1.47,1.8,1.43,1,1,0,0,0,1,1
SPC0003,20260519043334,2026-05-19T04:33:34.694Z,1.47,1.47,1.8,1.42,1,1,0,0,0,1,1
SPC0003,20260519043337,2026-05-19T04:33:37.703Z,1.46,1.47,1.8,1.41,1,1,0,0,0,1,1
SPC0003,20260519043340,2026-05-19T04:33:40.713Z,1.46,1.47,1.8,1.41,1,2,2,32,0,1,1
SPC0003,20260519043343,2026-05-19T04:33:43.724Z,1.45,1.46,1.8,1.4,1,2,3,34,0,1,1
SPC0003,20260519043346,2026-05-19T04:33:46.734Z,1.45,1.46,1.8,1.4,1,2,0,47,0,1,1
SPC0003,20260519043349,2026-05-19T04:33:49.743Z,1.44,1.45,1.8,1.39,1,2,1,3,0,1,1
SPC0003,20260519043352,2026-05-19T04:33:52.742Z,1.44,1.45,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043355,2026-05-19T04:33:55.753Z,1.43,1.44,1.8,1.38,1,1,0,0,0,1,1
SPC0003,20260519043358,2026-05-19T04:33:58.759Z,1.41,1.44,1.8,1.36,1,1,0,0,0,1,1
SPC0003,20260519043401,2026-05-19T04:34:01.771Z,1.42,1.41,1.8,1.37,1,1,0,0,0,1,1
SPC0003,20260519043404,2026-05-19T04:34:04.775Z,1.42,1.41,1.8,1.37,1,1,0,0,0,1,1
SPC0003,20260519043407,2026-05-19T04:34:07.787Z,1.44,1.42,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043410,2026-05-19T04:34:10.794Z,1.42,1.42,1.8,1.37,1,1,0,0,0,1,1
SPC0003,20260519043413,2026-05-19T04:34:13.801Z,1.43,1.42,1.8,1.38,1,1,0,0,0,1,1
SPC0003,20260519043416,2026-05-19T04:34:16.805Z,1.44,1.42,1.8,1.39,1,1,0,0,0,1,1
SPC0003,20260519043419,2026-05-19T04:34:19.819Z,1.46,1.44,1.8,1.41,1,1,0,0,0,1,1
SPC0003,20260519043422,2026-05-19T04:34:22.823Z,1.47,1.44,1.8,1.42,1,1,0,0,0,1,1
SPC0003,20260519043425,2026-05-19T04:34:25.838Z,1.47,1.47,1.8,1.42,1,1,0,0,0,1,1
SPC0003,20260519043428,2026-05-19T04:34:28.847Z,1.47,1.47,1.8,1.42,1,1,0,0,0,1,1
SPC0003,20260519043431,2026-05-19T04:34:31.852Z,1.48,1.47,1.8,1.43,1,3,2,24,0,1,1
SPC0003,20260519043434,2026-05-19T04:34:34.860Z,1.48,1.47,1.8,1.43,1,3,0,7,0,1,1
SPC0001,20260519044301,2026-05-19T04:43:01.560Z,1.74,1.74,1.8,1.69,1,1,0,0,0,1,1
SPC0002,20260519044302,2026-05-19T04:43:02.841Z,1.69,1.71,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044304,2026-05-19T04:43:04.569Z,1.72,1.74,1.8,1.67,1,1,0,0,0,1,1
SPC0002,20260519044305,2026-05-19T04:43:05.846Z,1.68,1.71,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044307,2026-05-19T04:43:07.578Z,1.72,1.72,1.8,1.67,1,1,0,0,0,1,1
SPC0002,20260519044308,2026-05-19T04:43:08.859Z,1.68,1.68,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044309,2026-05-19T04:43:09.597Z,1.74,1.72,1.8,1.69,1,2,0,30,0,1,1
SPC0001,20260519044310,2026-05-19T04:43:10.589Z,1.75,1.74,1.8,1.7,1,2,4,40,0,1,1
SPC0002,20260519044311,2026-05-19T04:43:11.867Z,1.67,1.68,1.8,1.62,1,1,0,0,0,1,1
SPC0001,20260519044312,2026-05-19T04:43:12.602Z,1.74,1.74,1.8,1.69,1,1,0,0,0,1,1
SPC0001,20260519044313,2026-05-19T04:43:13.598Z,1.73,1.74,1.8,1.68,1,1,0,0,0,1,1
SPC0002,20260519044314,2026-05-19T04:43:14.881Z,1.67,1.67,1.8,1.62,1,1,0,0,0,1,1
SPC0001,20260519044315,2026-05-19T04:43:15.613Z,1.73,1.74,1.8,1.68,1,1,0,0,0,1,1
SPC0001,20260519044316,2026-05-19T04:43:16.610Z,1.75,1.73,1.8,1.7,1,1,0,0,0,1,1
SPC0002,20260519044317,2026-05-19T04:43:17.891Z,1.67,1.67,1.8,1.62,1,1,0,0,0,1,1
SPC0001,20260519044318,2026-05-19T04:43:18.622Z,1.75,1.73,1.8,1.7,1,1,0,0,0,1,1
SPC0001,20260519044319,2026-05-19T04:43:19.623Z,1.74,1.75,1.8,1.69,1,1,0,0,0,1,1
SPC0002,20260519044320,2026-05-19T04:43:20.896Z,1.67,1.67,1.8,1.62,1,1,0,0,0,1,1
SPC0001,20260519044321,2026-05-19T04:43:21.625Z,1.74,1.75,1.8,1.69,1,1,0,0,0,1,1
SPC0001,20260519044322,2026-05-19T04:43:22.636Z,1.76,1.74,1.8,1.71,1,1,0,0,0,1,1
SPC0002,20260519044323,2026-05-19T04:43:23.902Z,1.67,1.67,1.8,1.62,1,1,0,0,0,1,1
SPC0001,20260519044324,2026-05-19T04:43:24.633Z,1.77,1.74,1.8,1.72,0,3,0,52,0,1,1
SPC0001,20260519044325,2026-05-19T04:43:25.646Z,1.75,1.77,1.8,1.7,0,3,2,23,0,1,1
SPC0002,20260519044326,2026-05-19T04:43:26.910Z,1.69,1.67,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044327,2026-05-19T04:43:27.648Z,1.74,1.77,1.8,1.69,0,3,2,20,0,1,1
SPC0001,20260519044328,2026-05-19T04:43:28.648Z,1.73,1.74,1.8,1.68,0,3,4,50,0,1,1
SPC0002,20260519044329,2026-05-19T04:43:29.913Z,1.68,1.67,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044330,2026-05-19T04:43:30.660Z,1.74,1.74,1.8,1.69,0,3,4,43,0,1,1
SPC0001,20260519044331,2026-05-19T04:43:31.655Z,1.72,1.74,1.8,1.67,0,3,3,32,0,1,1
SPC0001,20260519044331,2026-05-19T04:43:31.855Z,1.71,1.74,1.8,1.66,0,3,0,3,0,1,1
SPC0002,20260519044332,2026-05-19T04:43:32.922Z,1.69,1.68,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044333,2026-05-19T04:43:33.671Z,1.7,1.71,1.8,1.65,1,1,0,0,0,1,1
SPC0001,20260519044334,2026-05-19T04:43:34.670Z,1.7,1.71,1.8,1.65,1,1,0,0,0,1,1
SPC0001,20260519044334,2026-05-19T04:43:34.857Z,1.69,1.7,1.8,1.64,1,1,0,0,0,1,1
SPC0002,20260519044335,2026-05-19T04:43:35.933Z,1.68,1.68,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044336,2026-05-19T04:43:36.677Z,1.68,1.7,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044337,2026-05-19T04:43:37.681Z,1.7,1.68,1.8,1.65,1,1,0,0,0,1,1
SPC0001,20260519044337,2026-05-19T04:43:37.865Z,1.69,1.68,1.8,1.64,1,1,0,0,0,1,1
SPC0002,20260519044338,2026-05-19T04:43:38.945Z,1.69,1.68,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044339,2026-05-19T04:43:39.681Z,1.69,1.69,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044340,2026-05-19T04:43:40.693Z,1.68,1.69,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044340,2026-05-19T04:43:40.876Z,1.68,1.68,1.8,1.63,1,1,0,0,0,1,1
SPC0002,20260519044341,2026-05-19T04:43:41.950Z,1.67,1.68,1.8,1.62,1,3,1,47,0,1,1
SPC0001,20260519044342,2026-05-19T04:43:42.683Z,1.69,1.68,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044343,2026-05-19T04:43:43.699Z,1.69,1.69,1.8,1.64,1,1,0,0,0,1,1
SPC0001,20260519044343,2026-05-19T04:43:43.881Z,1.68,1.69,1.8,1.63,1,1,0,0,0,1,1
SPC0002,20260519044344,2026-05-19T04:43:44.952Z,1.68,1.67,1.8,1.63,1,3,0,22,0,1,1
SPC0001,20260519044345,2026-05-19T04:43:45.689Z,1.68,1.68,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044346,2026-05-19T04:43:46.699Z,1.68,1.68,1.8,1.63,1,1,0,0,0,1,1
SPC0001,20260519044346,2026-05-19T04:43:46.882Z,1.68,1.68,1.8,1.63,1,3,0,0,0,1,1
SPC0002,20260519044347,2026-05-19T04:43:47.955Z,1.66,1.67,1.8,1.61,1,3,0,55,0,1,1
SPC0001,20260519044348,2026-05-19T04:43:48.702Z,1.68,1.68,1.8,1.63,1,3,3,38,0,1,1
SPC0001,20260519044349,2026-05-19T04:43:49.709Z,1.69,1.68,1.8,1.64,1,3,3,35,0,1,1
SPC0001,20260519044349,2026-05-19T04:43:49.893Z,1.7,1.68,1.8,1.65,1,3,2,35,0,1,1
